tab	measurements
citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
na	NRM0	8.87	32.32	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001722	4.58913e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	LT-NO:LP-DIR-AF:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	1	pmagpy-4.2.96	A-1-2	u	0.0	0.0			0	273.0
na	NRM	8.08	33.19	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0015	3.9975e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT1	LT-LT-Z:LP-DIR-AF:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	2	pmagpy-4.2.96	A-1-2	u	0.0	0.0			1	77.0
na	NRM	8.09	32.66	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001472	3.92288e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT2	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	3	pmagpy-4.2.96	A-1-2	u	0.005	0.0			2	273.0
na	NRM	8.04	32.75	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.00141	3.75765e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT3	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	4	pmagpy-4.2.96	A-1-2	u	0.01	0.0			3	273.0
na	NRM	7.85	32.78	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001303	3.472495e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT4	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	5	pmagpy-4.2.96	A-1-2	u	0.015	0.0			4	273.0
na	NRM	7.44	32.78	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001165	3.104725e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT5	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	6	pmagpy-4.2.96	A-1-2	u	0.02	0.0			5	273.0
na	NRM	7.65	32.68	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001018	2.71297e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT6	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	7	pmagpy-4.2.96	A-1-2	u	0.025	0.0			6	273.0
na	NRM	6.95	32.79	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0009114	2.428881e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT7	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	8	pmagpy-4.2.96	A-1-2	u	0.03	0.0			7	273.0
na	NRM	7.39	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0008135	2.1679775e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT8	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	9	pmagpy-4.2.96	A-1-2	u	0.035	0.0			8	273.0
na	NRM	7.56	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000755	2.012075e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT9	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	10	pmagpy-4.2.96	A-1-2	u	0.04	0.0			9	273.0
na	NRM	7.61	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006931	1.8471115e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT10	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	11	pmagpy-4.2.96	A-1-2	u	0.045	0.0			10	273.0
na	NRM	7.95	33.44	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006462	1.722123e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT11	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	12	pmagpy-4.2.96	A-1-2	u	0.05	0.0			11	273.0
na	NRM	7.76	33.2	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006038	1.609127e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT12	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	13	pmagpy-4.2.96	A-1-2	u	0.055	0.0			12	273.0
na	NRM	7.0	32.88	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005704	1.520116e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT13	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	14	pmagpy-4.2.96	A-1-2	u	0.06	0.0			13	273.0
na	NRM	7.92	33.06	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005415	1.4430975e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT14	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	15	pmagpy-4.2.96	A-1-2	u	0.065	0.0			14	273.0
na	NRM	7.95	32.51	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005099	1.3588835e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT15	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	16	pmagpy-4.2.96	A-1-2	u	0.07	0.0			15	273.0
na	NRM	8.56	32.84	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0004901	1.3061165e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT16	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	17	pmagpy-4.2.96	A-1-2	u	0.075	0.0			16	273.0
na	NRM	8.22	33.11	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0004522	1.205113e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT17	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	18	pmagpy-4.2.96	A-1-2	u	0.08	0.0			17	273.0
